ISO,Country,continent,year,BCA,BCA_NGDPD,GGR,GGR_NGDP,GGSB,GGSB_NPGDP,GGX,GGXCNL,GGXCNL_NGDP,GGXONLB,GGXONLB_NGDP,GGXWDG,GGXWDG_NGDP,GGXWDN,GGXWDN_NGDP,GGX_NGDP,LE,LP,LUR,NGAP_NPGDP,NGDP,NGDPD,NGDPDPC,NGDPPC,NGDPRPC,NGDPRPPPPC,NGDP_D,NGDP_FY,NGDP_R,NGDP_RPCH,NGSD_NGDP,NID_NGDP,PCPI,PCPIE,PCPIEPCH,PCPIPCH,PPPEX,PPPGDP,PPPPC,PPPSH,TMG_RPCH,TM_RPCH,TXG_RPCH,TX_RPCH
KWT,Kuwait,Asia,2024,45.699,28.24,37.424,75.281,,,24.718,12.707,25.56,2.913,5.859,3.595,7.232,,,49.721,,5.012,,,49.713,161.822,32289.98,9919.64,7852.65,43768.01,126.322,49.713,39.354,-2.721,50.516,22.276,133.853,135.449,2.925,3.003,0.199,249.255,49736.26,0.128,-6.562,,-6.703,
LAO,Lao P.D.R.,Asia,2022,-0.459,-3.034,32138.93,14.787,,,32010.07,128.866,0.059,3350.38,1.541,284138.42,130.728,,,14.727,,7.477,,,217350.48,15.121,2022.38,29069325.69,17989421.38,8153.46,161.591,217350.48,134506.36,2.252,,,144.395,167.539,39.266,22.959,3328.01,65.309,8734.75,0.038,3.186,10.397,-1.785,2.545
LAO,Lao P.D.R.,Asia,2023,0.405,2.707,45835.34,16.395,,,43913.16,1922.18,0.688,7177.1,2.567,323962.02,115.876,,,15.707,,7.582,,,279575.54,14.943,1970.85,36873684.23,18389184.14,8334.65,200.518,279575.54,139426.43,3.658,,,189.489,208.366,24.369,31.23,3986.27,70.135,9250.17,0.038,11.13,12.688,4.659,15.006
LAO,Lao P.D.R.,Asia,2024,0.351,2.351,55149.44,16.531,,,56813.13,-1663.69,-0.499,9130.44,2.737,361424.84,108.338,,,17.03,,7.686,,,333607.3,14.949,1945.13,43406929.73,18886468.24,8560.03,229.831,333607.3,145153.41,4.108,,,231.229,242.131,16.205,22.028,4462.39,74.76,9727.29,0.038,1.562,-4.761,0.518,-4.201
LBN,Lebanon,Asia,2022,-6.793,-27.701,37259.92,5.687,-61079.19,-9.237,80207.89,-42947.97,-6.555,-39501.89,-6.029,1671983.62,255.183,1647654.24,251.47,12.242,,5.49,,,655209.0,24.524,4467.19,119351553.81,11360563.0,11020.89,1050.58,655209.0,62366.54,1.0,-8.441,,1401.65,2045.5,121.999,171.195,10108.87,64.815,11806.61,0.038,28.444,25.55,-8.319,13.424
LBN,Lebanon,Asia,2023,-5.647,-23.507,269359.68,12.884,-85039.34,-4.096,277571.06,-8211.37,-0.393,7635.35,0.365,4080474.7,195.17,3991819.1,190.93,13.276,,5.354,,,2090728.05,24.023,4486.99,390503433.03,11567198.56,11221.35,3375.96,2090728.05,61929.97,-0.7,-3.511,,4504.1,5978.1,192.256,221.343,31355.75,66.678,12453.97,0.036,-4.886,-0.987,-7.641,-3.998
LBR,Liberia,Africa,2022,-0.756,-19.011,0.858,21.599,,,1.07,-0.212,-5.332,-0.174,-4.391,2.146,53.989,2.146,53.989,26.931,,5.305,,,3.974,3.974,749.187,749.187,640.594,1597.15,116.952,3.974,3.398,4.811,,,993.267,1011.59,9.185,7.593,0.438,9.077,1711.02,0.005,-1.1,-6.292,35.748,21.786
LBR,Liberia,Africa,2023,-1.16,-26.42,0.882,20.081,,,1.192,-0.31,-7.071,-0.267,-6.091,2.582,58.808,2.582,58.808,27.151,,5.432,,,4.39,4.39,808.259,808.259,654.313,1631.36,123.528,4.39,3.554,4.587,,,1093.53,1112.9,10.015,10.094,0.446,9.835,1810.56,0.005,37.217,31.356,16.707,14.295
LBR,Liberia,Africa,2024,-1.075,-22.599,0.941,19.797,,,1.057,-0.116,-2.431,-0.057,-1.207,2.702,56.818,2.681,56.378,22.228,,5.561,,,4.756,4.756,855.186,855.186,671.435,1674.05,127.367,4.756,3.734,5.054,,,1177.39,1186.09,6.576,7.668,0.45,10.579,1902.32,0.005,3.321,4.02,9.237,8.735
LBY,Libya,Africa,2022,12.399,28.646,178.561,85.784,,,129.448,49.113,23.595,49.113,23.595,,,,,62.189,,6.777,,,208.152,43.281,6386.47,30714.27,11212.26,12211.25,273.935,208.152,75.986,-8.252,,28.576,352.755,360.621,4.106,4.51,2.348,88.656,13081.84,0.051,1.151,-7.373,16.01,15.973
LBY,Libya,Africa,2023,6.4,14.559,155.911,73.574,,,138.5,17.411,8.216,17.411,8.216,,,,,65.358,,6.845,,,211.911,43.958,6422.12,30959.69,12228.79,13318.36,253.17,211.911,83.703,10.156,,27.112,361.126,367.176,1.818,2.373,2.095,101.174,14781.33,0.055,2.323,3.323,-16.391,-16.349
LBY,Libya,Africa,2024,4.957,11.063,138.751,63.786,,,149.15,-10.399,-4.781,-10.399,-4.781,,,,,68.566,,6.913,,,217.527,44.812,6482.1,31465.77,12403.73,13508.88,253.68,217.527,85.749,2.444,,28.663,368.398,375.512,2.27,2.014,2.05,106.123,15350.96,0.055,11.491,9.223,-3.267,-3.227
LCA,St. Lucia,Americas,2022,-0.067,-2.863,1.341,21.004,,,1.446,-0.105,-1.65,0.08,1.245,4.688,73.432,,,22.654,,0.181,,,6.325,2.343,12958.68,34988.43,31060.4,22707.7,112.646,6.384,5.615,20.387,18.179,21.041,125.95,129.801,6.901,6.373,1.438,4.398,24326.62,0.003,9.46,16.121,39.783,66.594
LCA,St. Lucia,Americas,2023,-0.045,-1.867,1.424,21.402,,,1.598,-0.174,-2.608,0.049,0.741,4.958,74.492,,,24.01,,0.182,,,6.561,2.43,13358.35,36067.54,31548.15,23064.28,114.325,6.655,5.739,2.21,19.314,21.181,131.085,132.491,2.072,4.077,1.409,4.657,25597.79,0.003,13.312,12.777,6.831,5.058
LCA,St. Lucia,Americas,2024,-0.039,-1.508,1.562,22.271,,,1.734,-0.172,-2.454,0.06,0.862,5.177,73.81,,,24.725,,0.183,,,6.937,2.569,14034.39,37892.85,32562.04,23805.51,116.371,7.013,5.961,3.864,19.627,21.146,132.775,133.335,0.637,1.29,1.401,4.952,27051.66,0.003,4.613,4.523,5.383,2.606
LKA,Sri Lanka,Asia,2022,-0.744,-0.997,2012.59,8.364,,,4472.55,-2459.96,-10.223,-894.767,-3.718,27899.42,115.94,,,18.586,,22.396,5.25,,24063.76,74.586,3330.38,1074487.99,543018.33,13122.47,197.873,24063.76,12161.2,-7.347,27.638,28.603,163.45,187.6,54.53,45.214,76.432,314.837,14058.02,0.183,-22.385,-22.385,-3.033,-3.033
LSO,Lesotho,Africa,2022,-0.313,-13.794,17.193,44.624,,,19.302,-2.109,-5.473,-1.418,-3.68,24.848,64.491,12.282,31.878,50.098,,2.112,,,38.529,2.267,1073.48,18241.16,9627.94,2797.8,189.461,38.529,20.336,1.568,14.24,28.034,100.0,103.895,6.842,8.272,6.086,6.331,2997.26,0.004,-2.519,-1.106,-5.907,-6.132
LSO,Lesotho,Africa,2023,-0.004,-0.161,23.312,56.188,,,19.481,3.832,9.235,4.637,11.175,25.529,61.531,10.321,24.875,46.952,,2.138,,,41.49,2.211,1034.25,19408.1,9721.36,2824.95,199.644,41.49,20.782,2.194,26.416,26.576,106.343,111.62,7.435,6.343,6.19,6.703,3135.25,0.004,-1.347,-1.283,4.474,4.351
LSO,Lesotho,Africa,2024,-0.016,-0.689,28.622,63.52,,,26.295,2.327,5.163,3.049,6.766,27.05,60.033,8.602,19.09,58.357,,2.164,,,45.059,2.297,1061.81,20825.19,9873.58,2869.18,210.918,45.059,21.363,2.796,29.125,29.814,113.487,118.317,6.0,6.718,6.387,7.055,3260.42,0.004,8.097,6.658,11.3,11.158
LTU,Lithuania,Europe,2022,-3.885,-5.462,23.919,35.437,-1.037,-1.564,24.359,-0.44,-0.652,-0.214,-0.317,25.672,38.034,22.97,34.031,36.089,1.421,2.824,5.95,,67.498,71.134,25188.87,23901.14,16746.38,47168.99,142.724,67.498,47.292,2.444,21.631,27.094,137.572,146.82,19.98,18.858,0.473,142.704,50531.85,0.083,,12.439,,12.213
LTU,Lithuania,Europe,2023,1.51,1.94,26.756,37.176,-0.331,-0.457,27.338,-0.582,-0.809,-0.141,-0.196,27.558,38.29,24.856,34.535,37.984,1.441,2.883,6.875,,71.972,77.844,26997.8,24961.44,16355.76,46068.76,152.616,71.972,47.159,-0.282,21.709,19.768,149.52,147.75,0.633,8.685,0.488,147.423,51129.22,0.08,,-4.934,,-3.309
LTU,Lithuania,Europe,2024,2.331,2.815,29.436,38.743,-1.015,-1.329,30.657,-1.222,-1.608,-0.59,-0.777,28.98,38.143,26.277,34.586,40.351,1.469,2.883,7.3,,75.976,82.789,28712.7,26349.94,16753.45,47188.91,157.281,75.976,48.306,2.431,22.001,19.186,150.794,150.564,1.904,0.852,0.491,154.615,53623.64,0.079,,1.523,,1.979
LUX,Luxembourg,Europe,2022,6.25,7.65,33.739,43.518,0.549,0.722,34.01,-0.271,-0.35,-0.493,-0.635,19.176,24.733,-6.019,-7.764,43.868,0.501,0.645,4.816,1.879,77.529,81.706,126597.94,120125.91,100065.85,138695.46,120.047,77.529,64.582,1.38,25.396,17.746,118.544,119.96,6.357,8.15,0.808,95.895,148583.6,0.056,-12.054,-1.906,-3.96,-0.641
LUX,Luxembourg,Europe,2023,5.818,6.782,37.152,46.844,0.411,0.513,38.145,-0.993,-1.252,-1.385,-1.747,20.359,25.67,-4.856,-6.122,48.096,0.513,0.661,5.226,-0.975,79.31,85.78,129810.32,120019.1,96661.52,133976.91,124.164,79.31,63.875,-1.095,24.732,17.95,122.017,123.85,3.243,2.929,0.807,98.258,148693.7,0.053,-1.068,-0.14,-0.478,-1.367
LUX,Luxembourg,Europe,2024,6.261,6.865,39.343,47.002,-0.426,-0.5,40.432,-1.089,-1.301,-1.519,-1.814,22.371,26.726,-2.843,-3.397,48.303,0.518,0.674,5.808,-1.689,83.704,91.21,135321.42,124185.87,95962.91,133008.61,129.41,83.704,64.681,1.263,23.135,16.27,125.057,126.194,1.893,2.492,0.822,101.876,151145.79,0.052,-0.836,0.055,-0.657,0.18
LVA,Latvia,Europe,2022,-1.932,-4.775,14.294,37.238,-2.15,-5.744,15.718,-1.424,-3.709,-1.227,-3.197,16.039,41.782,12.523,32.623,40.948,0.886,1.876,6.851,,38.386,40.454,21566.93,20464.37,15364.86,38040.85,133.189,38.386,28.821,2.955,20.262,25.022,131.473,140.57,20.702,17.245,0.502,76.443,40752.93,0.044,11.094,11.094,10.315,10.315
LVA,Latvia,Europe,2023,-1.749,-4.008,15.542,38.519,-0.931,-2.313,16.965,-1.423,-3.527,-1.194,-2.96,17.581,43.574,13.918,34.496,42.046,0.884,1.883,6.506,,40.348,43.64,23175.51,21427.44,15262.45,37787.3,140.393,40.348,28.739,-0.283,18.983,22.977,143.382,141.77,0.854,9.058,0.511,78.97,41938.07,0.043,-2.843,-2.843,-5.939,-5.939
LVA,Latvia,Europe,2024,-1.708,-3.751,16.156,38.673,-1.111,-2.643,17.593,-1.438,-3.442,-1.02,-2.442,18.885,45.207,15.222,36.438,42.115,0.886,1.879,6.727,,41.775,45.521,24222.81,22229.52,15471.06,38303.79,143.685,41.775,29.074,1.164,19.265,23.016,145.338,145.937,2.94,1.364,0.511,81.798,43526.93,0.042,3.0,3.0,2.6,2.6
MAC,Macao SAR,Asia,2022,2.845,11.631,41.782,21.176,,,116.221,-74.439,-37.726,-74.439,-37.726,0.0,0.0,,,58.902,0.365,0.673,3.675,,197.312,24.464,36361.14,293269.92,293269.92,59142.69,100.0,197.312,197.312,-21.402,,23.572,152.658,152.889,0.766,1.045,4.629,42.628,63359.21,0.025,,,,
MAC,Macao SAR,Asia,2023,16.955,36.028,74.658,19.674,,,108.366,-33.707,-8.883,,,0.0,0.0,,,28.557,0.365,0.681,2.65,,379.477,47.061,69079.72,557030.46,522891.74,105449.7,106.529,379.477,356.22,80.536,,13.962,154.087,155.053,1.415,0.936,4.76,79.729,117032.91,0.043,,,,
MAC,Macao SAR,Asia,2024,17.743,33.197,115.672,26.926,,,107.094,8.579,1.997,,,0.0,0.0,,,24.929,0.453,0.692,1.8,,429.599,53.447,77186.16,620411.47,569092.89,114766.92,109.018,429.599,394.064,10.624,,13.197,155.782,157.379,1.5,1.1,4.757,90.306,130416.65,0.046,,,,
MAR,Morocco,Africa,2022,-4.658,-3.557,381.686,28.686,-71.352,-5.363,453.238,-71.552,-5.378,-43.05,-3.235,951.775,71.532,946.282,71.119,34.064,,36.67,11.8,,1330.56,130.952,3571.09,36284.65,32527.11,8956.24,111.552,1330.56,1192.77,1.527,26.569,30.126,110.8,114.3,8.341,6.641,3.782,351.84,9594.77,0.204,12.197,13.663,11.74,31.72
MAR,Morocco,Africa,2023,-0.893,-0.618,415.049,28.363,-66.62,-4.553,479.497,-64.448,-4.404,-33.228,-2.271,1016.6,69.47,1004.41,68.637,32.767,,37.022,13.0,,1463.36,144.438,3901.4,39526.71,33314.33,9173.0,118.648,1463.36,1233.36,3.403,28.043,28.661,117.6,118.2,3.412,6.137,3.883,376.907,10180.62,0.205,7.531,8.971,7.415,6.946
MAR,Morocco,Africa,2024,-3.136,-1.996,447.248,28.667,-66.543,-4.265,513.909,-66.661,-4.273,-29.988,-1.922,1072.02,68.712,1059.02,67.879,32.939,,37.37,13.352,,1560.17,157.087,4203.55,41749.24,33925.46,9341.28,123.062,1560.17,1267.8,2.792,25.792,27.788,119.623,120.844,2.237,1.72,3.933,396.685,10615.06,0.204,2.409,1.541,1.464,1.363
MDA,Moldova,Europe,2022,-2.295,-15.776,91.481,33.198,,,100.374,-8.893,-3.227,-6.156,-2.234,96.174,34.901,,,36.425,,2.541,4.6,,275.561,14.55,5726.14,108446.59,5182.18,15222.25,2092.68,275.561,13.168,-4.982,8.781,24.557,78400.13,38372.07,30.24,28.567,6.65,41.437,16307.5,0.024,6.254,6.254,28.403,28.403
MDA,Moldova,Europe,2023,-1.974,-11.907,102.299,34.058,,,117.871,-15.572,-5.184,-10.136,-3.374,106.048,35.306,,,39.242,,2.496,4.457,,300.368,16.576,6641.58,120353.27,5312.84,15606.04,2265.33,300.368,13.259,0.695,13.419,25.326,88935.14,39983.69,4.2,13.437,6.949,43.227,17320.3,0.023,-5.089,-5.089,4.731,4.731
MDA,Moldova,Europe,2024,-2.026,-11.217,106.717,32.426,,,123.31,-16.593,-5.042,-11.313,-3.437,121.49,36.914,,,37.467,,2.451,3.498,,329.114,18.062,7368.49,134262.62,5549.49,16301.17,2419.37,329.114,13.603,2.594,13.003,24.22,93381.9,41982.88,5.0,5.0,7.248,45.407,18524.02,0.023,4.379,4.379,2.858,2.858
MDG,Madagascar,Africa,2022,-0.822,-5.429,6772.05,10.924,,,10199.78,-3427.73,-5.529,-3081.47,-4.971,33416.64,53.903,,,16.453,,28.961,,,61993.49,15.135,522.583,2140559.53,771538.71,1705.3,277.44,61993.49,22344.8,4.0,15.354,20.783,148.528,155.868,10.823,8.157,1171.7,52.909,1826.88,0.031,3.176,6.205,14.169,21.612
MDG,Madagascar,Africa,2023,-0.714,-4.521,9631.61,13.771,,,12521.78,-2890.18,-4.132,-2394.52,-3.424,38867.96,55.57,,,17.903,,29.766,,,69943.56,15.79,530.466,2349742.79,779195.55,1722.23,301.56,69943.56,23193.9,3.8,17.073,21.594,163.175,167.482,7.451,9.861,1229.33,56.896,1911.4,0.031,-5.662,-3.164,6.578,12.322
MDG,Madagascar,Africa,2024,-1.174,-6.818,10100.66,12.979,,,13026.11,-2925.45,-3.759,-2263.25,-2.908,43186.96,55.494,,,16.738,,30.594,,,77822.89,17.212,562.585,2543732.11,792235.21,1751.05,321.083,77822.89,24237.63,4.5,15.511,22.329,175.313,181.411,8.317,7.439,1278.37,60.877,1989.82,0.031,-0.478,-1.081,-6.188,0.162
MDV,Maldives,Asia,2022,-1.004,-16.29,29.299,30.859,,,39.905,-10.605,-11.17,-7.172,-7.553,113.977,120.045,,,42.029,,0.391,,,94.945,6.161,15765.5,242946.38,237146.96,28673.32,102.445,94.945,92.679,13.907,3.71,20.0,100.68,101.704,3.349,2.601,7.909,12.005,30717.56,0.007,20.621,30.214,20.933,15.19
MDV,Maldives,Asia,2023,-1.401,-21.314,34.108,33.674,,,47.06,-12.952,-12.787,-8.759,-8.648,124.729,123.143,,,46.461,,0.397,,,101.288,6.573,16541.03,254897.27,242498.42,29320.36,105.113,101.288,96.361,3.973,-1.314,20.0,103.301,103.636,1.9,2.604,7.833,12.931,32541.08,0.007,-2.643,2.599,15.734,1.01
MDV,Maldives,Asia,2024,-1.257,-17.999,33.66,31.273,,,52.901,-19.241,-17.877,-13.526,-12.567,141.823,131.768,,,49.15,,0.404,,,107.631,6.984,17286.83,266390.0,249802.52,30203.5,106.64,107.631,100.929,4.741,2.001,20.0,104.802,106.227,2.5,1.453,7.761,13.867,34322.08,0.007,6.482,0.054,4.602,4.373
MEX,Mexico,Americas,2022,-17.599,-1.203,7159.14,24.307,-1195.98,-4.055,8417.18,-1258.04,-4.271,214.415,0.728,15954.34,54.169,14160.48,48.079,28.579,,129.961,3.278,,29452.83,1463.32,11259.75,226628.93,186735.53,21362.62,121.364,29452.83,24268.26,3.689,21.502,22.705,122.513,126.478,7.817,7.898,9.903,2974.23,22885.65,1.727,8.271,8.305,8.096,8.682
MEX,Mexico,Americas,2023,-5.477,-0.306,7738.6,24.36,-1413.1,-4.495,9108.14,-1369.54,-4.311,477.325,1.503,16867.57,53.097,15210.65,47.882,28.672,,131.135,2.796,,31767.17,1788.82,13641.03,242247.24,190984.69,21848.73,126.841,31767.17,25044.84,3.2,24.271,24.562,129.281,132.373,4.661,5.525,9.99,3179.86,24248.72,1.726,4.54,4.955,-7.159,-7.305
MEX,Mexico,Americas,2024,-13.704,-0.741,8292.8,24.248,-2113.62,-6.203,10310.58,-2017.78,-5.9,-261.496,-0.765,19748.97,57.746,17965.17,52.53,30.148,,132.274,2.956,,34199.67,1848.13,13971.9,258550.89,192086.86,21974.82,134.601,34199.67,25408.18,1.451,24.001,24.726,135.327,138.329,4.5,4.676,10.354,3303.07,24971.32,1.698,1.209,1.094,1.38,-0.549
MHL,Marshall Islands,Oceania,2022,0.025,10.047,0.173,68.41,,,0.172,0.002,0.681,0.002,0.895,0.05,19.808,,,67.728,,0.041,,,0.253,0.253,6119.0,6119.0,5339.35,5738.21,114.602,0.253,0.221,-1.096,,,154.043,159.528,5.676,2.775,0.995,0.255,6147.31,,,,,-23.403
MHL,Marshall Islands,Oceania,2023,0.044,16.819,0.173,66.677,,,0.171,0.002,0.688,0.002,0.837,0.048,18.669,,,65.989,,0.04,,,0.259,0.259,6417.18,6417.18,5257.2,5649.92,122.065,0.259,0.212,-3.926,,,165.505,169.312,6.133,7.441,1.023,0.253,6270.54,,,,,4.182
MHL,Marshall Islands,Oceania,2024,0.006,2.042,0.199,71.252,,,0.198,0.001,0.253,0.001,0.477,0.048,17.096,,,70.998,,0.041,,,0.279,0.279,6850.23,6850.23,5476.25,5885.33,125.09,0.279,0.223,5.0,,,173.122,176.931,4.5,4.602,1.024,0.272,6687.86,,,,,7.66
MKD,North Macedonia,Europe,2022,-0.84,-6.118,243.238,30.286,,,286.032,-42.794,-5.328,-33.66,-4.191,414.07,51.556,406.526,50.617,35.614,,1.832,14.375,,803.14,13.735,7498.58,438464.13,261487.07,22937.0,167.681,803.14,478.969,2.221,29.905,,135.292,144.29,18.747,14.205,17.844,45.009,24572.27,0.026,19.384,12.4,15.996,11.41
MKD,North Macedonia,Europe,2023,0.103,0.698,277.144,32.969,,,318.566,-41.422,-4.928,-28.503,-3.391,458.172,54.505,449.377,53.458,37.897,,1.832,13.05,,840.611,14.769,8063.11,458920.78,264173.63,23172.66,173.719,840.611,483.89,1.027,24.553,,147.958,149.518,3.623,9.362,17.844,47.108,25718.08,0.026,-7.91,-5.838,-1.199,-0.132
MKD,North Macedonia,Europe,2024,-0.34,-2.145,318.15,35.507,,,362.814,-44.664,-4.985,-27.032,-3.017,505.247,56.388,495.203,55.267,40.492,,1.832,13.0,,896.023,15.861,8658.89,489172.52,269985.45,23682.46,181.185,896.023,494.536,2.2,23.485,,152.84,154.004,3.0,3.3,18.177,49.295,26911.82,0.025,3.965,2.853,-1.308,-0.018
MLI,Mali,Africa,2022,-1.977,-10.792,2360.41,20.698,,,2931.54,-571.136,-5.008,-394.148,-3.456,6053.31,53.081,5579.76,48.928,25.706,,22.621,,,11403.99,18.322,809.941,504125.42,252384.3,2462.25,199.745,11403.99,5709.27,3.475,8.964,19.756,164.231,165.266,7.763,9.734,191.116,59.67,2637.8,0.035,-14.293,-17.454,3.143,2.096
MLI,Mali,Africa,2023,-1.428,-7.067,2732.93,22.297,,,3210.96,-478.03,-3.9,-277.457,-2.264,6850.43,55.889,6485.48,52.912,26.197,,23.348,,,12257.18,20.21,865.599,524968.29,255164.11,2489.37,205.738,12257.18,5957.68,4.351,10.839,17.906,167.612,164.426,-0.508,2.059,190.012,64.507,2762.82,0.035,7.096,6.737,6.92,6.546
MLI,Mali,Africa,2024,-1.191,-5.501,2916.15,22.372,,,3385.4,-469.255,-3.6,-246.206,-1.889,7263.27,55.722,6823.62,52.349,25.972,,24.101,,,13034.87,21.653,898.46,540853.62,256473.43,2502.14,210.881,13034.87,6181.15,3.751,11.67,17.171,171.802,168.536,2.5,2.5,190.218,68.526,2843.34,0.035,1.145,-5.514,-6.328,-6.364
MLT,Malta,Europe,2022,-0.722,-3.758,5.902,32.354,-0.321,-1.739,6.867,-0.965,-5.288,-0.801,-4.39,9.0,49.335,7.345,40.263,37.643,0.284,0.521,3.475,-1.137,18.242,19.225,36902.11,35015.58,25984.56,60332.77,134.755,18.242,13.537,4.148,21.425,25.183,113.676,117.19,7.721,6.125,0.542,33.673,64634.13,0.02,31.554,18.46,19.33,13.694
MLT,Malta,Europe,2023,0.197,0.881,6.484,31.399,-0.841,-4.1,7.435,-0.951,-4.604,-0.737,-3.568,9.768,47.301,7.779,37.672,36.003,0.298,0.542,3.125,0.673,20.65,22.335,41204.74,38096.78,26846.74,62334.64,141.905,20.65,14.552,7.499,20.435,19.554,120.004,121.57,3.738,5.567,0.551,37.5,69181.84,0.02,-15.774,-0.41,-8.557,4.656
MLT,Malta,Europe,2024,0.293,1.2,7.007,31.298,-1.008,-4.559,7.9,-0.893,-3.987,-0.629,-2.809,10.67,47.659,8.672,38.733,35.285,0.305,0.553,3.009,1.264,22.389,24.397,44140.02,40507.75,27645.4,64189.03,146.526,22.389,15.28,5.0,20.709,19.509,123.208,124.762,2.626,2.67,0.555,40.316,72941.91,0.021,6.0,6.078,2.358,6.247
MMR,Myanmar,Asia,2022,-2.843,-4.603,20778.2,18.042,,,26028.24,-5250.04,-4.559,-2155.64,-1.872,71825.61,62.368,,,22.601,,53.886,,,115163.34,61.766,1146.24,2137163.09,1405113.0,4473.59,152.099,115163.34,75716.03,-3.965,27.682,32.285,197.71,230.0,31.448,18.385,445.937,258.25,4792.53,0.15,1.536,-0.146,-9.162,-7.41
MMR,Myanmar,Asia,2023,-2.361,-3.66,24618.32,17.652,,,32596.92,-7978.6,-5.721,-4329.09,-3.104,83195.98,59.655,,,23.373,,54.205,,,139461.8,64.505,1190.01,2572848.71,1432313.01,4560.19,179.629,139461.8,77638.82,2.539,28.625,32.285,251.289,287.5,25.0,27.1,508.357,274.338,5061.1,0.149,-18.979,-17.752,-21.936,-18.809
MMR,Myanmar,Asia,2024,-2.497,-3.884,27463.32,17.562,,,36518.08,-9054.76,-5.79,-4744.67,-3.034,95066.74,60.794,,,23.353,,54.506,,,156375.91,64.284,1179.4,2868951.5,1438877.81,4581.09,199.388,156375.91,78427.9,1.016,28.401,32.285,306.573,345.0,20.0,22.0,551.11,283.747,5205.77,0.146,-4.369,-3.144,-6.733,-3.042
MNE,Montenegro,Europe,2022,-0.807,-12.931,2.265,38.235,,,2.507,-0.242,-4.082,-0.148,-2.493,4.18,70.552,,,42.318,,,,,5.924,6.243,,,,,187.648,5.924,3.157,6.407,17.374,30.305,355.538,339.874,17.153,13.05,0.342,17.301,,0.01,19.841,24.119,29.712,31.592
MNE,Montenegro,Europe,2023,-0.856,-11.556,2.863,41.812,,,2.811,0.052,0.758,0.179,2.612,4.211,61.498,,,41.055,,0.633,,,6.847,7.406,11696.26,10814.05,5285.25,27037.39,204.608,6.847,3.346,6.0,15.386,26.943,386.002,354.406,4.276,8.568,0.36,18.999,30007.34,0.01,7.634,5.207,-8.959,8.565
MNE,Montenegro,Europe,2024,-1.177,-14.515,3.085,41.454,,,3.313,-0.228,-3.062,-0.076,-1.022,4.627,62.172,,,44.516,,0.633,,,7.442,8.11,12802.12,11748.64,5480.29,28035.12,214.38,7.442,3.472,3.742,11.464,25.979,402.023,368.805,4.063,4.15,0.369,20.181,31858.01,0.01,7.285,6.94,-29.434,-2.543
MNG,Mongolia,Asia,2022,-2.303,-13.434,18521.56,34.394,,,18159.67,361.889,0.672,1159.67,2.153,34728.08,64.489,,,33.722,,3.458,6.7,,53851.54,17.146,4959.14,15575067.77,8229852.08,15205.05,189.251,53851.54,28455.11,5.033,28.898,42.332,123.617,129.2,13.234,15.153,956.167,56.32,16289.07,0.033,9.531,12.48,22.204,23.88
MNG,Mongolia,Asia,2023,0.121,0.597,24387.05,34.62,,,22462.4,1924.65,2.732,3028.05,4.299,32962.85,46.795,,,31.888,,3.505,5.4,,70441.52,20.315,5796.48,20098921.98,8721637.03,16113.64,230.449,70441.52,30567.08,7.422,34.497,33.9,136.408,139.4,7.895,10.348,1123.87,62.678,17883.66,0.034,14.521,17.898,53.606,53.449
MNG,Mongolia,Asia,2024,-1.644,-6.947,30755.47,37.641,,,30430.41,325.059,0.398,1440.31,1.763,34619.04,42.369,,,37.243,,3.551,5.0,,81707.68,23.669,6665.65,23010896.0,9080036.34,16775.8,253.423,81707.68,32241.63,5.478,28.978,35.924,145.275,149.855,7.5,6.5,1207.07,67.691,19063.37,0.035,18.988,13.305,12.169,12.164
MOZ,Mozambique,Africa,2022,-6.88,-36.435,333.738,27.679,,,395.303,-61.566,-5.106,-26.132,-2.167,1208.85,100.259,,,32.785,,32.97,,,1205.73,18.884,572.757,36571.02,31061.33,1462.64,117.738,1205.73,1024.08,4.364,6.769,,93.462,97.34,10.866,10.369,23.34,51.66,1566.91,0.03,48.85,33.86,31.094,30.198
MOZ,Mozambique,Africa,2023,-2.224,-10.612,388.829,29.046,,,443.854,-55.024,-4.11,-3.471,-0.259,1256.78,93.883,,,33.156,,33.897,,,1338.68,20.958,618.283,39492.11,31853.67,1499.95,123.98,1338.68,1079.76,5.437,9.271,,100.0,101.51,4.284,6.996,23.723,56.429,1664.71,0.031,-26.34,-24.9,0.597,-0.639
MOZ,Mozambique,Africa,2024,-6.735,-29.941,407.548,28.254,,,468.804,-61.256,-4.247,-1.632,-0.113,1384.51,95.984,,,32.501,,34.858,,,1442.44,22.495,645.329,41379.93,32322.4,1522.02,128.022,1442.44,1126.71,4.348,6.539,,103.466,105.155,3.591,3.466,23.925,60.29,1729.56,0.031,12.253,31.291,3.698,3.527
MRT,Mauritania,Africa,2022,-1.424,-14.89,90.398,25.607,,,101.323,-10.926,-3.095,-8.165,-2.313,178.123,50.457,164.712,46.658,28.702,,4.334,,,353.024,9.564,2206.78,81452.11,19835.91,6809.57,410.63,353.024,85.971,6.796,27.14,49.068,203.3,209.635,11.014,9.553,11.165,31.618,7295.06,0.018,5.914,5.914,15.578,15.578
